"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","time","finally","home","feel","job","daughter","walk","day","friend","husband"
"2","family","found","house","happiness","received","son","trip","moment","played","wife"
"3","watched","bought","baby","makes","called","morning","beautiful","school","birthday","night"
"4","enjoyed","car","visit","live","completed","love","started","life","game","dinner"
"5","movie","money","sister","people","finished","dog","bike","surprise","son","nice"
"6","spend","shopping","fun","positive","book","started","temple","talked","won","favorite"
"7","kids","purchased","brother","life","hours","told","planted","event","celebrated","kids"
"8","weekend","buy","helped","love","weeks","learned","garden","class","party","lunch"
"9","vacation","pay","excited","joy","read","laugh","taking","phone","gift","eat"
"10","spent","card","mom","world","project","smile","ride","passed","enjoyed","food"
"11","park","store","child","experience","promotion","sleep","drive","dad","team","cooked"
"12","person","hit","children","relatives","hard","hug","weather","mother","college","brought"
"13","relax","didnt","mother","person","ive","bed","flowers","share","met","ate"
"14","song","saved","cleaned","emotional","company","run","decided","dont","attended","evening"
"15","change","paid","moved","listening","office","woke","waiting","remember","marriage","restaurant"
"16","planned","bill","parents","music","recently","cat","beach","date","meet","delicious"
"17","results","mturk","girl","research","proud","minutes","church","wonderful","video","breakfast"
"18","movement","online","father","pleasant","couple","kiss","water","exam","graduation","coffee"
"19","waiting","extra","wedding","define","event","funny","stopped","students","function","ice"
"20","study","fixed","boy","wellbeing","successfully","looked","hand","meet","close","prepared"
